Wall time,Step,Value
1714376607.1341288,160,0.0
1714376607.260187,161,0.0
1714376607.4920387,162,1.0
1714376607.9303477,163,0.0
1714376608.1101775,164,0.0
1714376608.3184972,165,0.0
1714376608.5363057,166,0.0
1714376608.728708,167,0.0
1714376609.1646528,168,0.0
1714376609.2075312,169,1.0
1714376609.3342066,170,1.0
1714376609.4829614,171,0.0
1714376610.441296,172,0.0
1714376610.6591492,173,1.0
1714376610.917618,174,0.0
1714376611.0271769,175,0.0
1714376611.2318554,176,0.0
1714376611.2932203,177,1.0
1714376611.7560022,178,0.0
1714376611.799734,179,1.0
1714376611.9812791,180,0.0
1714376612.1797204,181,0.0
1714376612.3989596,182,0.0
1714376612.6812806,183,0.0
1714376612.8007598,184,0.0
1714376613.22986,185,0.0
1714376613.648445,186,0.0
1714376613.8072224,187,0.0
1714376613.9704962,188,0.0
1714376614.1197238,189,0.0
1714376614.2667058,190,0.0
1714376614.7341459,191,1.0
1714376614.969828,192,0.0
1714376615.3283138,193,0.0
1714376615.4755783,194,0.0
1714376615.966085,195,0.0
1714376616.123164,196,0.0
1714376616.3806794,197,0.0
1714376616.4975266,198,1.0
1714376616.8999312,199,0.0
1714376616.9428442,200,1.0
1714376617.1209676,201,0.0
1714376617.2079425,202,0.0
1714376617.4570205,203,0.0
1714376617.754526,204,0.0
1714376617.953791,205,0.0
1714376618.0969296,206,0.0
1714376618.3289626,207,0.0
1714376618.968137,208,1.0
1714376619.1342943,209,0.0
1714376619.235735,210,0.0
1714376619.425284,211,0.0
1714376619.5825467,212,0.0
1714376619.7374032,213,0.0
1714376619.9562352,214,0.0
1714376620.22325,215,0.0
1714376620.3794508,216,0.0
1714376620.6051352,217,0.0
1714376620.7194967,218,0.0
1714376620.9449294,219,0.0
1714376621.1156867,220,1.0
1714376621.1837666,221,1.0
1714376621.40858,222,0.0
1714376621.5654278,223,1.0
1714376621.6312828,224,1.0
1714376621.7606068,225,0.0
1714376621.985778,226,0.0
1714376622.1408262,227,1.0
1714376622.3622813,228,0.0
1714376622.4893107,229,0.0
1714376622.671026,230,0.0
1714376623.250048,231,1.0
1714376623.5766773,232,0.0
1714376623.782228,233,0.0
1714376624.087585,234,1.0
1714376624.3964212,235,0.0
1714376624.4983652,236,0.0
1714376624.671676,237,0.0
1714376625.1353464,238,0.0
1714376625.3042634,239,0.0
1714376625.609637,240,0.0
1714376625.8687196,241,1.0
1714376626.0183673,242,0.0
1714376626.250221,243,0.0
1714376626.421042,244,0.0
1714376626.6067061,245,0.0
1714376626.7380424,246,0.0
1714376627.1035461,247,0.0
1714376627.3402321,248,0.0
1714376627.612058,249,1.0
1714376627.7090611,250,1.0
1714376628.1183658,251,0.0
1714376628.3459945,252,0.0
1714376628.519801,253,0.0
1714376628.6724858,254,0.0
1714376629.1175141,255,0.0
1714376629.3603554,256,0.0
1714376629.4935486,257,0.0
1714376630.1168394,258,1.0
1714376630.3848662,259,0.0
1714376630.5388184,260,0.0
1714376630.715768,261,0.0
1714376630.938418,262,1.0
1714376631.0276668,263,1.0
1714376631.2285762,264,0.0
1714376631.4247239,265,0.0
1714376631.5711944,266,0.0
1714376631.9054239,267,0.0
1714376632.0296497,268,1.0
1714376632.1791856,269,0.0
1714376632.6033542,270,0.0
1714376632.8287046,271,0.0
1714376633.2952824,272,0.0
1714376633.7762465,273,0.0
1714376633.8892984,274,0.0
1714376634.195925,275,0.0
1714376634.515679,276,1.0
1714376634.5551085,277,1.0
1714376634.8224707,278,0.0
1714376635.0149984,279,0.0
1714376635.1951396,280,0.0
1714376635.3448784,281,0.0
1714376635.5627897,282,0.0
1714376635.7755244,283,0.0
