Wall time,Step,Value
1714376568.9632533,2,0.5941465497016907
1714376569.0320363,3,0.645168662071228
1714376569.183614,4,0.6657673120498657
1714376569.2959952,5,0.6753870844841003
1714376569.5000248,6,0.5862099528312683
1714376569.6994898,7,0.6527567505836487
1714376569.8994808,8,0.5919526219367981
1714376570.2063751,9,0.6515483856201172
1714376570.278844,10,0.6731237769126892
1714376570.4857347,11,0.6590973138809204
1714376570.7576516,12,0.652389407157898
1714376570.961409,13,0.6727318167686462
1714376571.251492,14,0.5898100137710571
1714376571.5662165,15,0.603014349937439
1714376572.0813642,16,0.6650081276893616
1714376572.3243678,17,0.6413533687591553
1714376572.446486,18,0.6787329316139221
1714376572.5772917,19,0.6781325340270996
1714376573.243287,20,0.6757031679153442
1714376573.5557187,21,0.6319853067398071
1714376573.6885173,22,0.6640208959579468
1714376573.9137669,23,0.6466271281242371
1714376574.001766,24,0.6205334067344666
1714376574.469289,25,0.5931652188301086
1714376574.6470826,26,0.6263924837112427
1714376574.7805386,27,0.6763330101966858
1714376574.848906,28,0.6812015771865845
1714376574.9149241,29,0.6702544093132019
1714376575.1648731,30,0.6780439019203186
1714376575.323116,31,0.6541647911071777
1714376575.494748,32,0.6581353545188904
1714376575.6972709,33,0.6743180155754089
1714376575.8450263,34,0.6753263473510742
1714376576.072211,35,0.6147083640098572
1714376576.3596826,36,0.5928842425346375
1714376576.525884,37,0.5891038775444031
1714376576.6607392,38,0.5894929766654968
1714376576.8355372,39,0.5970052480697632
1714376577.290906,40,0.672723114490509
1714376577.4063058,41,0.6713085174560547
1714376577.5210204,42,0.6790294647216797
1714376577.6905637,43,0.679376482963562
1714376577.9495602,44,0.6778659224510193
1714376578.0614884,45,0.6777161359786987
1714376578.324029,46,0.5728590488433838
1714376578.430946,47,0.679002046585083
1714376578.5665145,48,0.5926897525787354
1714376578.7126672,49,0.6714892983436584
1714376578.8176744,50,0.6744186878204346
1714376578.994986,51,0.6768838763237
1714376579.154967,52,0.678218424320221
1714376579.7037146,53,0.6523131728172302
1714376580.4571912,54,0.6058330535888672
1714376580.6842606,55,0.5927163362503052
1714376580.8988202,56,0.5798685550689697
1714376581.1373096,57,0.6693228483200073
1714376581.3585608,58,0.653792142868042
1714376581.5110931,59,0.6805769205093384
1714376581.6538093,60,0.5995843410491943
1714376581.869715,61,0.6287462711334229
1714376582.0147054,62,0.6783756017684937
1714376582.1047666,63,0.5970136523246765
1714376582.2140791,64,0.6744776368141174
1714376582.4047062,65,0.6105076670646667
1714376582.7006037,66,0.5929428339004517
1714376582.8761575,67,0.677834153175354
1714376582.921896,68,0.6747960448265076
1714376583.0848112,69,0.6791201829910278
1714376583.2721703,70,0.6792622208595276
1714376583.8024476,71,0.6776890754699707
1714376583.9576075,72,0.6790663599967957
1714376584.485091,73,0.67747962474823
1714376584.921444,74,0.6619018912315369
1714376585.0554824,75,0.6770197749137878
1714376585.192949,76,0.6780001521110535
1714376585.311538,77,0.6800445318222046
1714376585.938637,78,0.584526538848877
1714376586.1955433,79,0.6436089873313904
1714376586.604436,80,0.5952628254890442
1714376586.7360828,81,0.6787073016166687
1714376586.9586983,82,0.5890313982963562
1714376587.0924108,83,0.6711917519569397
1714376587.469591,84,0.5862867832183838
1714376588.2100577,85,0.6509155631065369
1714376588.4938133,86,0.5895636677742004
1714376588.7486563,87,0.639408528804779
1714376589.0599818,88,0.64471834897995
1714376589.4797266,89,0.6495411396026611
1714376589.592115,90,0.6804664731025696
1714376589.725895,91,0.5959171652793884
1714376589.8841958,92,0.5931825637817383
1714376590.0224988,93,0.6809931993484497
1714376590.298931,94,0.6803523898124695
1714376590.5231922,95,0.674382209777832
1714376591.0118458,96,0.5971880555152893
1714376591.1265712,97,0.6747008562088013
1714376591.2851052,98,0.6010953783988953
1714376591.83707,99,0.5840529799461365
1714376591.9251533,100,0.6611407399177551
1714376592.0793614,101,0.6767086982727051
1714376592.503661,102,0.5845186114311218
1714376592.8372655,103,0.5862174034118652
1714376593.1103563,104,0.6638672351837158
1714376593.3071358,105,0.6610262989997864
1714376593.5552163,106,0.5713291764259338
1714376593.6674957,107,0.6183416247367859
1714376594.3974729,108,0.5541375875473022
1714376594.753281,109,0.5247822999954224
1714376595.3619113,110,0.5518300533294678
1714376595.4039714,111,0.536260724067688
1714376595.481331,112,0.5070530772209167
1714376595.700639,113,0.5358009338378906
1714376596.309883,114,0.5112758874893188
1714376596.942642,115,0.5442254543304443
1714376597.766574,116,0.5247395634651184
1714376597.9241812,117,0.519768476486206
1714376598.0343769,118,0.5308600068092346
1714376598.187867,119,0.5284106135368347
1714376598.3014252,120,0.5354764461517334
1714376598.4821973,121,0.4996694028377533
1714376598.6338649,122,0.4770313501358032
1714376598.7936404,123,0.5055561065673828
1714376599.0773404,124,0.5199551582336426
1714376599.2139058,125,0.48509615659713745
1714376599.331514,126,0.5457176566123962
1714376599.4444208,127,0.5032615661621094
1714376599.6307483,128,0.48904508352279663
1714376599.7609682,129,0.4955398738384247
1714376600.039993,130,0.4435849189758301
1714376600.1894102,131,0.3982601761817932
1714376600.4086149,132,0.42579665780067444
1714376600.6594343,133,0.4221106767654419
1714376601.0088656,134,0.41611018776893616
1714376601.2059205,135,0.44584739208221436
1714376601.3919835,136,0.3977237939834595
1714376601.8263779,137,0.39437243342399597
1714376601.981323,138,0.33105286955833435
1714376602.5755725,139,0.2623293101787567
1714376603.0760295,140,0.21800610423088074
1714376603.2849312,141,0.3107350468635559
1714376603.5903454,142,0.28448739647865295
1714376603.7623694,143,0.19425496459007263
1714376603.9181852,144,0.4721338450908661
1714376604.0742657,145,0.7131824493408203
1714376604.2901258,146,0.18056386709213257
1714376604.4420538,147,0.2272031605243683
1714376604.5739322,148,0.18503783643245697
1714376604.8386066,149,0.5502721071243286
1714376604.9960618,150,0.2936769127845764
1714376605.1081266,151,0.26511526107788086
1714376605.314019,152,0.23442867398262024
1714376605.5760248,153,0.1222451776266098
1714376606.0045643,154,0.15899266302585602
1714376606.0485115,155,0.24928756058216095
1714376606.1946893,156,0.11166851967573166
1714376606.4399517,157,0.13913343846797943
1714376606.5743651,158,0.7339910864830017
1714376606.759031,159,0.6666486859321594
1714376607.1341822,160,0.11661931127309799
1714376607.2602468,161,0.12626515328884125
1714376607.492204,162,0.14889928698539734
1714376607.9304361,163,0.08684173971414566
1714376608.110351,164,0.08763428777456284
1714376608.318559,165,0.0876614972949028
1714376608.5363767,166,0.14119844138622284
1714376608.7288623,167,0.08506426960229874
1714376609.1648107,168,0.08295360207557678
1714376609.2077103,169,0.1288393884897232
1714376609.3343554,170,0.48679041862487793
