Wall time,Step,Value
1714032288.767541,2,0.0
1714032289.5402932,3,1.0
1714032289.674879,4,0.0
1714032289.921633,5,0.0
1714032290.2472422,6,0.0
1714032290.5134206,7,0.0
1714032290.787052,8,0.0
1714032291.086424,9,0.0
1714032291.7995925,10,1.0
1714032292.1129189,11,0.0
1714032292.4417787,12,0.0
1714032292.7756805,13,0.0
1714032293.0444102,14,0.0
1714032293.402313,15,0.0
1714032293.6741693,16,0.0
1714032293.8995347,17,0.0
1714032294.6347432,18,1.0
1714032294.8883512,19,0.0
1714032295.160628,20,0.0
1714032295.7324555,21,0.0
1714032296.3215404,22,0.0
1714032297.030415,23,1.0
1714032297.3121464,24,0.0
1714032297.9742093,25,0.0
1714032298.3598716,26,0.0
1714032298.94834,27,1.0
1714032299.7300858,28,1.0
1714032300.3744013,29,1.0
1714032300.6705055,30,0.0
1714032300.9481459,31,0.0
1714032301.395094,32,1.0
1714032301.7495015,33,0.0
1714032301.9767196,34,0.0
1714032302.3578238,35,0.0
1714032302.8495457,36,1.0
1714032303.2101803,37,0.0
1714032303.4686356,38,0.0
1714032303.7741303,39,0.0
1714032304.2132878,40,0.0
1714032304.6968048,41,1.0
1714032305.0203512,42,0.0
1714032305.5136611,43,0.0
1714032305.8743458,44,0.0
1714032306.2177198,45,0.0
1714032306.3328538,46,0.0
1714032306.6656752,47,0.0
1714032306.925374,48,0.0
1714032307.1058652,49,0.0
1714032307.223567,50,0.0
1714032307.7524512,51,1.0
1714032307.9860833,52,0.0
1714032308.4539394,53,1.0
1714032308.6600037,54,0.0
1714032309.0255046,55,0.0
1714032309.617217,56,0.0
1714032309.7918386,57,0.0
1714032310.4976425,58,1.0
1714032310.9605033,59,1.0
1714032311.2429867,60,0.0
1714032311.6571221,61,1.0
1714032311.8805358,62,0.0
1714032312.7427685,63,1.0
1714032313.4246366,64,0.0
1714032313.6939285,65,0.0
1714032313.9839673,66,0.0
1714032314.1523185,67,0.0
1714032314.4694827,68,0.0
1714032314.9427671,69,1.0
1714032315.182223,70,0.0
1714032315.5465622,71,0.0
1714032316.119157,72,1.0
1714032316.3587177,73,0.0
1714032316.5383646,74,0.0
1714032317.159255,75,1.0
1714032317.284864,76,0.0
1714032317.4226873,77,0.0
1714032317.950295,78,1.0
1714032318.2542348,79,0.0
1714032318.4213934,80,0.0
1714032318.9633029,81,1.0
1714032319.2330296,82,0.0
1714032319.6553073,83,1.0
1714032319.9111276,84,0.0
1714032320.348351,85,0.0
1714032320.653382,86,0.0
1714032320.7782679,87,0.0
1714032321.1088436,88,0.0
1714032321.2993274,89,0.0
1714032321.526434,90,0.0
1714032321.9512653,91,0.0
1714032322.167157,92,0.0
1714032322.692063,93,0.0
1714032323.08654,94,0.0
1714032323.8882544,95,1.0
1714032324.50613,96,0.0
1714032324.900621,97,0.0
1714032325.2802074,98,0.0
1714032325.8253474,99,1.0
1714032326.2766469,100,0.0
1714032326.4638195,101,0.0
1714032327.0156906,102,1.0
1714032327.522267,103,1.0
1714032328.2232313,104,1.0
1714032328.809658,105,0.0
1714032329.2917395,106,1.0
1714032329.477023,107,0.0
