Wall time,Step,Value
1712490649.336653,264,1.0
1712490653.117228,265,1.0
1712490656.192288,266,1.0
1712490659.054684,267,0.0
1712490662.441559,268,1.0
1712490665.35338,269,0.0
1712490666.845527,270,0.0
1712490668.485472,271,0.0
1712490669.323614,272,0.0
1712490670.062302,273,0.0
1712490673.873386,274,1.0
1712490677.76989,275,1.0
1712490681.817858,276,1.0
1712490683.173915,277,0.0
1712490686.814923,278,0.0
1712490689.624622,279,1.0
1712490692.874815,280,0.0
1712490694.285761,281,0.0
1712490697.272661,282,1.0
1712490700.185864,283,1.0
1712490702.3986,284,0.0
1712490703.905874,285,0.0
1712490706.327542,286,0.0
1712490709.952816,287,0.0
1712490713.321074,288,0.0
1712490717.042433,289,1.0
1712490719.592345,290,0.0
1712490722.459389,291,1.0
1712490723.547563,292,0.0
1712490726.197786,293,0.0
1712490727.398019,294,0.0
1712490729.715957,295,0.0
1712490734.539817,296,1.0
1712490735.194613,297,0.0
1712490736.18959,298,0.0
1712490738.313585,299,0.0
1712490739.37371,300,0.0
1712490742.033089,301,0.0
1712490743.516725,302,0.0
1712490745.074908,303,0.0
1712490749.206652,304,1.0
1712490752.430465,305,1.0
1712490754.784352,306,0.0
1712490757.379555,307,1.0
1712490759.690597,308,0.0
1712490762.121946,309,0.0
1712490764.946305,310,1.0
1712490768.491219,311,0.0
1712490769.41765,312,0.0
1712490771.102157,313,0.0
1712490773.880586,314,0.0
1712490778.200753,315,1.0
1712490781.601872,316,1.0
1712490783.488451,317,0.0
1712490787.143931,318,1.0
1712490788.582761,319,0.0
1712490791.125273,320,0.0
1712490794.227212,321,0.0
1712490794.884213,322,0.0
1712490797.078724,323,1.0
1712490798.011441,324,0.0
1712490798.754406,325,0.0
1712490802.393661,326,1.0
1712490803.95038,327,0.0
1712490805.586223,328,0.0
1712490807.951178,329,1.0
1712490811.8546,330,0.0
1712490814.888824,331,0.0
1712490817.643318,332,1.0
1712490820.840096,333,1.0
1712490823.405553,334,1.0
1712490827.441087,335,1.0
1712490831.449013,336,1.0
1712490833.213896,337,0.0
1712490837.8107,338,1.0
1712490842.365468,339,0.0
1712490845.562649,340,1.0
1712490849.078816,341,0.0
1712490850.351937,342,0.0
1712490853.025369,343,1.0
1712490854.895704,344,0.0
